FID,UA_CODE,NAME,POPULATION,POP_DENSIT,HOUSING,AREA_SQMI
105,03817,"Atlanta, GA",4999259,2040,1998084,2486.9
122,04384,"Austin, TX",1809888,2921,765527,624.52
129,04843,"Baltimore, MD",2212038,3377,944161,676.47
214,07786,"Birmingham, AL",774956,1522,346732,512.86
250,09271,"Boston, MA--NH",4382009,2646,1792967,1727.58
259,09536,"Bradenton--Sarasota--Venice, FL",779075,1927,447842,443.83
277,10162,"Bridgeport--Stamford, CT--NY",916408,2307,367076,408.17
406,15670,"Charlotte, NC--SC",1379873,2098,576259,667.91
424,16264,"Chicago, IL--IN",8671746,3709,3559615,2376.84
438,16885,"Cincinnati, OH--KY",1686744,2242,727550,760.84
459,17668,"Cleveland, OH",1712178,2399,808782,718.41
511,19234,"Columbus, OH",1567254,3036,672389,524.02
590,22042,"Dallas--Fort Worth--Arlington, TX",5732354,3281,2243270,1771.66
629,23527,"Denver--Aurora, CO",2686147,4168,1125043,655.87
635,23824,"Detroit, MI",3776890,2940,1647476,1318.51
1004,37243,"Hartford, CT",977158,1823,425056,545.06
1079,40429,"Houston, TX",5853575,3340,2232438,1778.38
1105,41212,"Indianapolis, IN",1699881,2353,717732,732.54
1134,42346,"Jacksonville, FL",1247374,2176,530649,648.02
1176,43912,"Kansas City, MO--KS",1674218,2345,729472,722.37
1226,45640,"Knoxville, TN",597257,1383,263977,436.42
1296,47995,"Las Vegas--Henderson--Paradise, NV",2196623,5046,884138,435.88
1392,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,7476,4354341,1655.46
1397,51755,"Louisville/Jefferson County, KY--IN",974397,2431,438588,408.69
1513,56116,"Memphis, TN--MS--AR",1056190,2150,452043,494.83
1526,56602,"Miami--Fort Lauderdale, FL",6077522,4885,2622231,1331.84
1551,57466,"Milwaukee, WI",1306795,2818,582330,473.77
1555,57628,"Minneapolis--St. Paul, MN",2914866,2872,1198573,1081.76
1646,61273,"Nashville-Davidson, TN",1158642,1981,496886,590.26
1693,63217,"New York--Jersey City--Newark, NY--NJ",19426449,5981,7657903,3459.98
1732,65080,"Oklahoma City, OK",982276,2329,426593,429.41
1753,65863,"Orlando, FL",1853896,2876,746578,709.76
1844,69076,"Philadelphia, PA--NJ--DE--MD",5696125,3001,2377924,1949.98
1846,69184,"Phoenix--Mesa--Scottsdale, AZ",3976313,3581,1670745,1113.93
1858,69697,"Pittsburgh, PA",1745039,1925,831523,923.22
1900,71317,"Portland, OR--WA",2104238,4052,876555,530.01
1931,72505,"Providence, RI--MA",1285806,2363,554188,577.56
1953,73261,"Raleigh, NC",1106646,1995,455527,560.17
1990,74746,"Richmond, VA",1059150,2067,447842,522.84
2007,75340,"Riverside--San Bernardino, CA",2276703,3741,683675,611.14
2054,77068,"Sacramento, CA",1946618,4163,726246,472.73
2074,77770,"St. Louis, MO--IL",2156323,2369,975765,922.73
2094,78580,"San Antonio, TX",1992689,3248,789482,616.8
2096,78661,"San Diego, CA",3070300,4550,1149240,689.33
2103,78904,"San Francisco--Oakland, CA",3515933,6843,1391873,525.87
2108,79093,"San Juan, PR",1844410,2415,888356,772.79
2143,80389,"Seattle--Tacoma, WA",3544011,3607,1468039,1040.65
2332,86599,"Tampa--St. Petersburg, FL",2783045,2872,1286258,1049.4
2457,90892,"Virginia Beach--Norfolk, VA",1451578,3014,609066,557.96
2491,92242,"Washington--Arlington, DC--VA--MD",5174759,3997,2042623,1320.59
